city,facility_name,telephone_ops,visn,vamc_system_label,facility_id,status,skip
North Chicago,Captain James A. Lovell Federal HCC,224-610-3703,12,Lovell Federal health care - VA,vha_556,1 to 1,
Anchorage,Alaska HCS,907-257-6950,20,VA Alaska health care,vha_463,1 to 1,
Albany,Albany Stratton VAMC ,518-626-6750,2,VA Albany health care,vha_528,1 to 1,
Alexandria,Alexandria VA HCS,318-466-2771,16,VA Alexandria health care,vha_502,1 to 1,
Altoona,James E. Van Zandt VAMC,814-943-8164x17059,4,VA Altoona health care,vha_503,1 to 1,
Amarillo,Amarillo VA HCS - Thomas E. Creek VAMC,806-354-7861,17,VA Amarillo health care,vha_504,1 to 1,
Ann Arbor,VA Ann Arbor HCS,734-845-3405,10,VA Ann Arbor health care,vha_506,1 to 1,
Asheville,Asheville VAMC,828-296-4493,6,VA Asheville health care,vha_637,1 to 1,
Atlanta,Atlanta VA HCS,404-321-6111x127641,7,VA Atlanta health care,vha_508,1 to 1,
Augusta,Charlie Norwood VAMC ,706-823-2211,7,VA Augusta health care,vha_509,1 to 1,
Battle Creek,Battle Creek VAMC,269-223-5365,10,VA Battle Creek health care,vha_515,1 to 1,
Bay Pines,Bay Pines VA HCS,727-398-6661x14111,8,VA Bay Pines health care,vha_516,1 to 1,
Beckley,Beckley VAMC,304-255-2121x4381,5,VA Beckley health care,vha_517,1 to 1,
Bedford,Edith Nourse Rogers Memorial Veterans Hospital,781-687-2404,1,VA Bedford health care,vha_518,1 to 1,
Birmingham,Birmingham VAMC,205-933-8101x6444,7,VA Birmingham health care,vha_521,1 to 1,
Fort Meade,VA Black Hills HCS - Fort Meade Campus,605-720-7177,23,VA Black Hills health care,vha_568,Use Fort Meade,
Hot Springs,VA Black Hills HCS - Hot Springs Campus,605-745-2020,23,VA Black Hills health care,vha_568,Use Fort Meade,1
Boise,Boise VAMC,208-422-1122,20,VA Boise health care,vha_531,1 to 1,
Boston,VA Boston HCS - Jamaica Plain Division,857-364-5293,1,VA Boston health care,vha_523,Use Jamaica Plain,
Boston,VA Boston HCS - West Roxbury Division,857-203-6007,1,VA Boston health care,vha_523,Use Jamaica Plain,1
Brockton,VA Boston HCS - Brockton Division,774-826-2530,1,VA Boston health care,vha_523,Use Jamaica Plain,1
Bronx,James J. Peters VAMC,718-584-9000x5377,2,VA Bronx health care,vha_526,1 to 1,
Butler,VA Butler Healthcare,878-271-6002,4,VA Butler health care,vha_529,1 to 1,
San Juan,VA Caribbean HCS,787-641-7582x31251,8,VA Caribbean health care,vha_672,1 to 1,
Montgomery,Central Alabama HCS - West Campus,(334)727-6448,7,VA Central Alabama health care,vha_619,Good duplicate,
Tuskegee,Central Alabama HCS - East Campus,(334)727-6448,7,VA Central Alabama health care,vha_619,Good duplicate,1
Little Rock,Cent. Arkansas HCS - John L. McClellan Mem. Hospital,501-257-6550,16,VA Central Arkansas health care,vha_598,Good duplicate,
No. Little Rock,Cent. Arkansas HCS - Eugene J. Towbin HCC,501-257-6550,16,VA Central Arkansas health care,vha_598,Good duplicate,1
Fresno,Central California VA HCS,559-228-6982,21,VA Central California health care,vha_570,1 to 1,
Des Moines,VA Central Iowa HCS,515-699-5839,23,VA Central Iowa health care,vha_636,1 to 1,
Columbus,Chalmers P. Wylie ACC,614-257-5555,10,VA Central Ohio health care,vha_757,1 to 1,
Temple,Central Texas Veterans HCS - Olin E. Teague VAMC,254-743-2278,17,VA Central Texas health care,vha_674,Good duplicate,
Waco,Central Texas Veterans HCS - Doris Miller VAMC,254-743-2278,17,VA Central Texas health care,vha_674,Good duplicate,1
Leeds,VA Central Western Massachusetts HCS,413-582-3029,1,VA Central Western Massachusetts health care,vha_631,1 to 1,
Charleston,Ralph H. Johnson VAMC,843-789-7251,7,VA Charleston health care,vha_534,1 to 1,
Cheyenne,Cheyenne VAMC,307-778-7315,19,VA Cheyenne health care,vha_442,1 to 1,
Chicago,Jesse Brown VAMC,312-569-6108,12,VA Chicago health care,vha_537,1 to 1,
Chillicothe,Chillicothe VAMC,740-773-1141x7273,10,VA Chillicothe health care,vha_538,1 to 1,
Cincinnati,Cincinnati VAMC,513-475-6331,10,VA Cincinnati health care,vha_539,1 to 1,
Clarksburg,Louis A. Johnson VAMC,304-623-3461x3890,5,VA Clarksburg health care,vha_540,1 to 1,
Coatesville,Coatesville VAMC,610-383-0222,4,VA Coatesville health care,vha_542,1 to 1,
Columbia,Harry S. Truman Memorial,573-814-6320,15,VA Columbia Missouri health care,vha_589,1 to 1,
Columbia,Wm. Jennings Bryan Dorn VAMC,803-695-6804,7,VA Columbia South Carolina health care,vha_544,1 to 1,
Newington,VA Connecticut HCS - Newington Campus,860-667-6707,1,VA Connecticut health care,vha_689,Use West Have,1
West Haven,VA Connecticut HCS - West Haven Campus,203-937-3864,1,VA Connecticut health care,vha_689,Use West Have,
Dayton,Dayton VAMC,937-262-2160,10,VA Dayton health care,vha_552,1 to 1,
Detroit,John D. Dingell VAMC,313-576-3375,10,VA Detroit health care,vha_553,1 to 1,
Dublin,Carl Vinson VAMC,478-277-2766,7,VA Dublin health care,vha_557,1 to 1,
Durham,Durham VAMC,919-286-6872,6,VA Durham health care,vha_558,1 to 1,
Aurora,VA East. Colorado HCS - Rocky Mountain Region VAMC,720-857-5800,19,VA Eastern Colorado health care,vha_554,1 to 1,
Leavenworth,VA Eastern Kansas HCS - Dwight D. Eisenhower VAMC,913-682-2000x52059,15,VA Eastern Kansas health care,vha_589,Use Eisenhower,
Topeka,VA Eastern Kansas HCS - Colmery-O'Neil VAMC,785-350-3111x52695,15,VA Eastern Kansas health care,vha_589,Use Eisenhower,1
Muskogee,Jack C. Montgomery VAMC,918-577-3807,19,VA Eastern Oklahoma health care,vha_623,1 to 1,
El Paso,El Paso VAMC,915-564-6103x7572,17,VA El Paso health care,vha_756,1 to 1,
Erie,Erie VAMC,814-860-2277,4,VA Erie health care,vha_562,1 to 1,
Fargo,Fargo VA HCS,701-239-3700x93299,23,VA Fargo health care,vha_437,1 to 1,
Fayetteville,Veterans HCS of the Ozarks,479-444-4050,16,VA Fayetteville Arkansas health care,vha_564,"Use Fayetteville, not Springfield",
"Springfield, MO",Veterans HCS of the Ozarks - Gene Taylor HCC,417-891-4800x64711 ,16,VA Fayetteville Arkansas health care,vha_564,"Use Fayetteville, not Springfield",1
Fayetteville,Fayetteville VAMC,910-822-7922,6,VA Fayetteville Coastal health care,vha_565,1 to 1,
Bath,Finger Lakes VA HCS - Bath VAMC,607-664-4768,2,VA Finger Lakes health care,vha_528,Use Canandaigua,1
Canandaigua,Finger lakes HCS - Canandaigua VAMC,585-393-7405,2,VA Finger Lakes health care,vha_528,Use Canandaigua,
Los Angeles,VA Greater LA HCS - Sepulveda ACC,310-268-4524,22,VA Greater Los Angeles health care,vha_691,Good duplicate,
Los Angeles,VA Greater LA HCS - W. LA VAMC,310-268-4524,22,VA Greater Los Angeles health care,vha_691,Good duplicate,1
Biloxi,Gulf Coast Veterans HCS,228-523-5499x5734,16,VA Gulf Coast health care,vha_520,1 to 1,
Hampton,Hampton VAMC,757-728-3197,6,VA Hampton health care,vha_590,1 to 1,
Hines,Edward Hines Jr. VA Hospital,708-202-2013,12,VA Hines health care,vha_578,1 to 1,
Houston,Michael E. DeBakey VAMC,713-794-7106,17,VA Houston health care,vha_580,1 to 1,
Montrose,Hudson Valley HCS - Franklin Delano Roosevelt Campus,914-737-4400x2509,2,VA Hudson Valley health care,vha_620,Use Roosevelt,
Wappingers Falls,VA Hudson Valley HCS - Castle Point Campus,845-838-5211,2,VA Hudson Valley health care,vha_620,Use Roosevelt,1
Huntington,"Hershel ""Woody"" Williams VAMC",304-429-6755x2855,5,VA Huntington health care,vha_581,1 to 1,
Danville,VA Illiana HCS,217-554-5146,12,VA Illiana health care,vha_550,1 to 1,
Indianapolis,Richard L. Roudebush VAMC,317-988-2200,10,VA Indiana health care,vha_583,1 to 1,
Iowa City,Iowa City HCS,319-338-0581x6600,23,VA Iowa City health care,vha_636,1 to 1,
Iron Mountain,Oscar G. Johnson VAMC,906-774-3300x32030,12,VA Iron Mountain health care,vha_585,1 to 1,
Jackson,G. V. (Sonny) Montgomery VAMC,601-364-1234,16,VA Jackson health care,vha_586,1 to 1,
Kansas City,Kansas City VAMC,816-922-2875,15,VA Kansas City health care,vha_589,1 to 1,
Lebanon,Lebannon VAMC,717-228-5910,4,VA Lebanon health care,vha_595,1 to 1,
Lexington,Lexington VAMC,859-281-4444,9,VA Lexington health care,vha_596,1 to 1,
Loma Linda,VA Loma Linda HCS,909-825-7084x2135,22,VA Loma Linda health care,vha_605,1 to 1,
Long Beach,VA Long Beach HCS,562-826-5800,22,VA Long Beach health care,vha_600,1 to 1,
Louisville,Robley Rex VAMC,502-287-5255,9,VA Louisville health care,vha_603,1 to 1,
Madison,William S. Middleton Mem. Veterans Hospital,608-256-1901x7270,12,VA Madison health care,vha_607,1 to 1,
Togus,VA Maine HCS,207-623-5796,1,VA Maine health care,vha_402,1 to 1,
Manchester,Manchester VAMC,603-624-4366 X6426,1,VA Manchester health care,vha_608,1 to 1,
Marion,Marion VAMC,618-993-4167,15,VA Marion health care,vha_657,1 to 1,
Martinsburg,Martinsburg VAMC,304-264-4818,5,VA Martinsburg health care,vha_613,1 to 1,
Baltimore,VA Maryland HCS - Baltimore VAMC,410-605-7300,5,VA Maryland health care,vha_512,Use Baltimore,
Loch Raven,VA Maryland HCS - Loch Raven VAMC,410-605-7000x55880,5,VA Maryland health care,vha_512,Use Baltimore,1
Perry Point,VA Maryland HCS - Perry Point VAMC,410-642-1000,5,VA Maryland health care,vha_512,Use Baltimore,1
Memphis,Memphis VAMC,901-577-7570,9,VA Memphis health care,vha_614,1 to 1,
Miami,Miami VA HCS,305-575-3400,8,VA Miami health care,vha_546,1 to 1,
Milwaukee,Clement J. Zablocki VAMC,414-384-2000x42222,12,VA Milwaukee health care,vha_695,1 to 1,
Minneapolis,Minneapolis VA HCS,612-467-3589,23,VA Minneapolis health care,vha_618,1 to 1,
Fort Harrison,VA Montana HCS,406-447-7586,19,VA Montana health care,vha_436,1 to 1,
Mountain Home,Mountain Home VAMC,423-926-1171x7197,9,VA Mountain Home health care,vha_621,1 to 1,
Grand Island,VA Nebraska/Western Iowa HCS - Grand Island VAMC,402-995-3202,23,VA Nebraska-Western Iowa health care,vha_636,Good duplicate,
Lincoln,VA Nebraska/Western Iowa HCS - Lincoln Clinic,402-995-3202,23,VA Nebraska-Western Iowa health care,vha_636,Good duplicate,1
Omaha,VA Nebraska/Western Iowa HCS - Omaha VAMC,402-995-3202,23,VA Nebraska-Western Iowa health care,vha_636,Good duplicate,1
East Orange,VA New Jersey HCS - East Orange Campus,908-604-5824,2,VA New Jersey health care,vha_561,Good duplicate,
Lyons,VA New Jersey HCS - Lyons Campus,908-604-5824,2,VA New Jersey health care,vha_561,Good duplicate,1
Albuquerque,New Mexico VA HCS,505-256-2865,22,VA New Mexico health care,vha_501,1 to 1,
Brooklyn,VA New York Harbor HCS - Brooklyn Campus,718-630-3549,2,VA New York Harbor health care,vha_630,Use Manhattan,1
Jamaica,VA New York Harbor HCS - St. Albans Campus,718-526-1000x8501,2,VA New York Harbor health care,vha_630,Use Manhattan,1
Manhattan,VA New York Harbor HCS - Manhattan Campus,212-686-7500x3701,2,VA New York Harbor health care,vha_630,Use Manhattan,
Gainesville,No. Florida/So. Georgia HCS - Malcom Randall VAMC,352-379-4091,8,VA North Florida/South Georgia health care,vha_573,Use Lake City,1
Lake City,No. Florida/So. Georgia HCS - Lake City VAMC,386-754-6301,8,VA North Florida/South Georgia health care,vha_573,Use Lake City,
Bonham,North Texas HCS - Sam Rayburn Mem. Veterans Center,214-857-0411,17,VA North Texas health care,vha_549,Good duplicate,
Dallas,VA North Texas HCS - Dallas VAMC,214-857-0411,17,VA North Texas health care,vha_549,Good duplicate,1
Cleveland,Louis Stokes Cleveland VAMC,216-421-3223 ,10,VA Northeast Ohio health care,vha_541,1 to 1,
Prescott,Northern Arizona HCS,928-776-6019,22,VA Northern Arizona health care,vha_649,1 to 1,
Martinez,VA Northern California HCS - Martinez OPC ,916-366-5401,21,VA Northern California health care,vha_612,Good duplicate,
Mather,VA Northern California HCS - Sacramento VAMC,916-366-5401,21,VA Northern California health care,vha_612,Good duplicate,1
Fort Wayne,VA No. Indiana HCS - Fort Wayne Campus,765-677-3142,10,VA Northern Indiana health care,vha_610,Good duplicate,1
Marion,VA No. Indiana HCS - Marion Campus,765-677-3142,10,VA Northern Indiana health care,vha_610,Good duplicate,
Northport,Northport VAMC,631-261-4400x7186,2,VA Northport health care,vha_632,1 to 1,
Oklahoma City,Oklahoma City VA HCS,405-456-5590,19,VA Oklahoma City health care,vha_635,1 to 1,
Orlando,Orlando VAMC,407-631-8285,8,VA Orlando health care,vha_675,1 to 1,
Honolulu,VA Pacific Island HCS - Spark M. Matsunaga VAMC,808-433-4467,21,VA Pacific Islands health care,vha_459,1 to 1,
Livermore,VA Palo HCS - Menlo Park Division,650-858-3901,21,VA Palo Alto health care,vha_640,Good duplicate,1
Menlo Park,VA Palo HCS - Livermore Division,650-858-3901,21,VA Palo Alto health care,vha_640,Good duplicate,1
Palo Alto,VA Palo HCS - Palo Alto Division,650-858-3901,21,VA Palo Alto health care,vha_640,Good duplicate,
Philadelphia,Philadelphia VAMC,215-823-5895,4,VA Philadelphia health care,vha_642,1 to 1,
Phoenix,Phoenix VA HCS,602-222-6420,22,VA Phoenix health care,vha_644,1 to 1,
Pittsburgh,VA Pittsburgh HCS - H.J. Heinz Campus,412-360-6911,4,VA Pittsburgh health care,vha_646,Good duplicate,1
Pittsburgh,VA Pittsburgh HCS - University Campus,412-360-6911,4,VA Pittsburgh health care,vha_646,Good duplicate,
Poplar Bluff,John J. Pershing VAMC,573-778-4357,15,VA Poplar Bluff health care,vha_657,1 to 1,
Portland,VA Portland HCS,503-808-1911,20,VA Portland health care,vha_648,1 to 1,
Providence,Providence VAMC,401-457-3008,1,VA Providence health care,vha_650,1 to 1,
Seattle,VA Puget Sound HCS - Seattle Division,206-764-2899,20,VA Puget Sound health care,vha_663,Good duplicate,1
Tacoma,VA Puget Sound HCS - American Lake Division,206-764-2899,20,VA Puget Sound health care,vha_663,Good duplicate,
Richmond,Hunter Holmes McGuire VAMC,804-675-5278,6,VA Richmond health care,vha_652,1 to 1,
Roseburg,Roseburg VAMC,541-440-1000x44333,20,VA Roseburg health care,vha_653,1 to 1,
Saginaw,Aleda E. Lutz VAMC,989-497-2500x13203,10,VA Saginaw health care,vha_655,1 to 1,
Salem,Salem VAMC,540-983-1044,6,VA Salem health care,vha_658,1 to 1,
Salisbury,W.G. (Bill) Hefner VAMC,704-638-3334,6,VA Salisbury health care,vha_659,1 to 1,
Salt Lake City,VA Salt Lake City HCS - George E. Wahlen VAMC,801-584-1287,19,VA Salt Lake City health care,vha_660,1 to 1,
San Diego,VA San Diego HCS,858-642-3931,22,VA San Diego health care,vha_664,1 to 1,
San Francisco,San Francisco VA HCS,415-750-2003,21,VA San Francisco health care,vha_662,1 to 1,
Sheridan,Sheridan VAMC,307-675-3323x3220,19,VA Sheridan health care,vha_666,1 to 1,
Shreveport,Overton Brooks VAMC,318-221-8411x16911,16,VA Shreveport health care,vha_667,1 to 1,
Reno,VA Sierra Nevada HCS,775-328-1234,21,VA Sierra Nevada health care,vha_654,1 to 1,
Sioux Falls,Royal C. Johnson Memorial Medical Center,605-336-3230x97376,23,VA Sioux Falls health care,vha_438,1 to 1,
Kerrville,South Texas Veterans HCS - Kerrville VAMC,210-617-5168,17,VA South Texas health care,vha_671,Good duplicate,
San Antonio,So. Texas Veterans HCS - Audie L. Murphy VA Hospital,210-617-5168,17,VA South Texas health care,vha_671,Good duplicate,1
New Orleans,Southeast Louisiana Veterans HCS,504-207-2011,16,VA Southeast Louisiana health care,vha_629,1 to 1,
Tucson,Southern Arizona HCS,520-629-1823,22,VA Southern Arizona health care,vha_678,1 to 1,
North Las Vegas,VA Southern Nevada HCS,702-791-9000x14073,21,VA Southern Nevada health care,vha_593,1 to 1,
White City,Southern Oregon Rehabilitation Center & Clinics,541-826-2111x3362,20,VA Southern Oregon health care,vha_692,1 to 1,
Spokane,Mann-Grandstaff VAMC,509-434-7912,20,VA Spokane health care,vha_668,1 to 1,
St. Cloud,St. Cloud VA HCS,320-255-6335,23,VA St Cloud health care,vha_656,1 to 1,
St. Louis,VA St. Louis HCS - John Cochran Division,314-289-6326,15,VA St Louis health care,vha_657,Good duplicate,1
St. Louis,VA St. Louis HCS - John Cochran Division,314-289-6326,15,VA St Louis health care,vha_657,Good duplicate,
Syracuse,Syracuse VAMC,315-425-4336,2,VA Syracuse health care,vha_528,1 to 1,
Tampa,James A. Haley Veterans Hospital,813-972-7554,8,VA Tampa health care,vha_673,1 to 1,
Murfreesboro,Tennessee Valley HCS - Alvin C. York Campus,615-225-6600,9,VA Tennessee Valley health care,vha_626,Good duplicate,1
Nashville,Tennessee Valley HCS - Nashville Campus,615-225-6600,9,VA Tennessee Valley health care,vha_626,Good duplicate,
Harlingen,Texas Valley Coastal Bend HCS - Harlingen HCC,956-291-9001,17,VA Texas Valley health care,vha_740,1 to 1,
Tomah,Tomah VAMC,608-372-1245,12,VA Tomah health care,vha_676,1 to 1,
Tuscaloosa,Tuscaloosa VAMC,205-554-2086,7,VA Tuscaloosa health care,vha_679,1 to 1,
Walla Walla,Jonathan M. Wainwright Memorial VAMC,509-527-6135,20,VA Walla Walla health care,vha_687,1 to 1,
Washington,Washington DC VAMC,202-745-8189,5,VA Washington DC health care,vha_688,1 to 1,
West Palm Beach,West Palm VAMC,561-422-7312,8,VA West Palm Beach health care,vha_548,1 to 1,
Big Spring,"West Texas VA HCS - George H. O'Brien, Jr. VAMC",432-263-7361x7003,17,VA West Texas health care,vha_519,1 to 1,
Grand Junction,Grand Junction VAMC,970-263-5078,19,VA Western Colorado health care,vha_575,1 to 1,
Batavia,VA Western New York HCS - Batavia Campus,716-862-8747,2,VA Western New York health care,vha_528,Good duplicate,1
Buffalo,VA Western New York HCS - Buffalo Campus,716-862-8747,2,VA Western New York health care,vha_528,Good duplicate,
White River Junction,White River Junction VAMC,802-295-9363x6361,1,VA White River Junction health care,vha_405,1 to 1,
Wichita,Robert J. Dole VAMC,316-651-3631,15,VA Wichita health care,vha_589,1 to 1,
Wilkes-Barre,Wilkes-Barre VAMC,570-824-3521x27365,4,VA Wilkes-Barre health care,vha_693,1 to 1,
Wilmington,Wilmington VAMC,302-633-5280,4,VA Wilmington health care,vha_460,1 to 1,
